ID,Placa,identificación plataforma,hardware,restaurante,
13046928,Cuarto-Frio,d37d0dfa-ddaa-4a26-80f8-4a8e2798f4bb,"RF2.1",H-96,
10317112,Cuarto-Frio-H90,1a59fb82-1704-4337-8cf1-403dc0ce21fd,RF2.1,H-96,
